id,source,overalltext,overalltextloved,overalltextimprove,privatetext
25096,original,"Apartment was nice enough and location central, but wouldn’t book again with this host or this location. Host is very corporate and they nickel and dime you for everything. We were 4 people plus a baby staying for a week. Asked about a crib which usually comes standard in most airbnbs and they request about $60 claiming was extra and difficult to provide. Can’t claim to be efficient and corporatized company and then be unable to provide basic extra amenities. Same deal when asked for extra set of keys as only one set was provided for FOUR people. That will be an extra $15 on top of the $1800 we already paid for the trouble of “making copies” and bringing them over. Even though they needed to come by anyway to clean the AC air filters which were beyond disgusting.

Last issue which isn’t host’s fault is that there were mounds of trash left in the lobby of the building for nearly the entire time we were there which stunk up entire lobby area. TLDR: find somewhere else to stay.",,,
25095,translation,"Great accommodation, modernly furnished with all the necessary appliances and accessories.",,,
25094,original,"We loved the place so much. It was super clean and amazingly furnished in a super stylish modern way. The place included  everything we needed even earplugs and laundry detergent, cleaning supplies, shampoo, soap,toilet papers. Everything exceeded our expectations and everything we needed was right there. Amazing amazing place would definitely recommend and would definitely come back. Thank you for making our trip easy and great. It felt just like home.",,,
25093,original,"Had a fabulous stay here - it was well located for easy access to all the key sites, either walking or by tram. The place is as advertised and the people who run it are super responsive to any queries we had. Thanks for a lovely time :)",,,"We had a great stay here which is outlined in the review we left. On a side note, which obviously has nothing to do with the flat, the neighbours downstairs had a dog which had a tendency to bark at all sorts of bizarre times and more strangely seemed to have urinated all over the stairwell so it made walking up to the flat not as pleasant as it should have been. Of course this is not a reflection on your work but just something to be mindful of for future guests. On a plus note it was a great flat and we had a fabulous time and for that we are very grateful."
25092,original,"Absolutely lovely, perfect place to stay for a stay in Prague. Location is perfect, set just outside of all of the hustle and bustle but close enough to be there within a few minutes. Would stay there again upon another trip to Prague. Highly recommend.",,,
25091,translation,Great location,,,
25090,translation,"beautiful, cozy apartment and great communication ....",,,hello everything was great
25089,translation,"We had an excellent stay in this flat! The flat is very bright, functional, perfectly clean and ideally located for exploring Prague on foot. The building itself is magnificent, which adds to the charm of the place. The hosts were very responsive and available throughout our stay. We warmly recommend it!",,,"Thank you so much for your warm welcome! We had a wonderful stay in Prague, and your flat was a big part of that. It's very pleasant to live in, bright, well laid out, perfectly located, and the building is really magnificent. We also really appreciated your responsiveness throughout our stay.

Thank you again, and we look forward to coming back to Prague one day!"
25088,translation,"Excellent location, beautiful living, everything great",,,
25087,translation,"The location is very good, in addition, the room is very good. The only flaw is that the balcony is common, separated by a partition. The room is very clean, very practical, thought of small needs.
Thank you very much",,,
25086,translation,"I highly recommend because of the location of the place besides the flat was very nice and clean, I will definitely recommend and come back again:)",,,THANK YOU VERY MUCH
25085,translation,"The location is exceptional. But one step at a time, as this will come in handy for all those who will use this flat.
Very important information: the key box is located in the building opposite the flat. So there is no point in looking around just having to cross the street. And that is the only inconvenience.
The location is fantastic. Everywhere close. And to the shop and to the old town, and to the underground. Simply everywhere.
The flat is clean. It's a beautiful antique interior with an arched ceiling. Atmospheric. Equipped with all necessary appliances. Two bedrooms. One with a window, the other without a window and very low. Two tiny balconies. Despite the fact that the flat is located in the centre it is quiet and peaceful.
I recommend to everyone. Good price for a beautiful place in the centre of Prague. Next time I won't be looking for anything else but here straight away.
Thank you also to the hosts for looking after us :)",,,"Thank you for your stay and the quick resolution of problems.
I have no comments except one regarding the smell in the flat. I feel that the kitchen worktop, which is made of wood, would be worth a decent refresh as it is soaked with old grease.
And also the kettle for heating water I would replace.
Other than that, great.
It's a beautiful place, take care of it :)
best regards"
25084,translation,Fantastic accommodation with a great host. It was close to everything and a very good host. A plus was the newly renovated bathroom which was very fresh.,,,Thank you for your understanding and your great accommodation
25083,original,"The host was very responsive, the check in was very easy if you follow the instructions.
Great place for 6 or more guests. 
The location was great, tram right at the entrance, including restaurants and shops.
Very close walking distance to many tourist sites, kids playground about 5 minute walk.

The only minor negatives were:
There was only 1 set of keys, which was challenging for 2 families wanting to explore the city independently, the host provided the second set for 300 CZK.
The shower was OK for me but someone tall might find it very low.
We couldn't find any liners and had to purchase them.
Overall this accommodation suited us 4 adults and 2 children and the location was fantastic. Little pricey but totally worth it.",,,
25082,original,"I always read reviews before I choose a place, so here is mine:
Very good location. Tesco 7 minute walk, nearby restaurants. Near the river, the bus station/trams. Quiet. Only a few steps up to the apartment. Easy entry numbered keypad. Spacious. Very beige - no color :(
Equipped kitchen. Coffee pods. Comfortable bed. What I liked most: two separate water closets with bidets. Good communication with host. Would definitely recommend.",,,
25081,original,"i was not allowed early check in. i said i need to be somewhere super quick after check in time. the lock didnt work and i hd to wait 2 hours and miss my meeting.

clean, small hairs on bed.

beautiful building",,,
25080,translation,"Absolutely great accommodation. Although you live on the street, you can't hear a thing.
The location was perfect. Right next to a park with a great playground.
And the underground was only a few metres away.

It couldn't have been better!

Prague Days was always available and responded quickly to all questions.",,,Thank you very much! it was great with you!
25079,original,Lovely apartment in a great neighborhood. Easy walking distance to everything in Prague - very central. Good restaurants around (highly recommend The Beer Spot). It was very clean and seemed brand new. Really nice building as well.,,,I would recommend two sets of towels for each person for people who stay more than 3 nights. They were getting a bit gross by the end of 6 nights.
25078,original,"Smooth conversation and prompt reply. The apartment was great in a very nice location. We had a wonderful stay, thank you very much !",,,
25077,translation,"The accommodation is very centrally located. Everything that was specified was available and in great order. However, some cupboards are a bit broken and the kitchen window was dirty and smudged at check in. The communication was excellent and the value for money was fine",,,
25076,original,"Lovely accomodation, it was a good location and the interior and decorations were beautiful. TV and Netflix were a great addition to relax and unwind after a long day. Friendly staff, would reccomend.",,,
25075,translation,"They only give you one key,
The other one is for money ;(((
There were 5 of us.
It's not comfortable.",,,
25074,translation,Nice big bed and roof terrace. Good air conditioning for hot days.,,,
25073,translation,"Very good airbnb, I recommend",,,
25072,translation,"We had a great stay! Everything was so nice in the apartment, both cleaning and kitchen equipment. Walking distance to the centre and the sights. Very good communication and easy to get in and out of the apartment with code. We would recommend the place! :)",,,
25071,original,"Great place, very responsive host highly recommend",,,
25070,original,"Beautiful loft apartment in a really nice part of town. Metro a few minutes walk away. Lots of really good cafes, pubs, restaurants, and parks nearby. A few grocery shops close by too. Very communicative host company handling the arrival and departure, making sure nothing is left to guessing. Highly recommend — nothing to complain about!",,,Thanks guys. Great stay! Great communication.
25069,translation,"Very well equipped flat, responsive manager. Everything in the best possible order.",,,
25068,original,"The location of the apartment is excellent. We could easily reach many of Prague's attractions on foot or by tram. There are many markets and restaurants nearby. Kitchen utensils are enough. But since it is a small apartment, I think you can stay as a maximum of 2 people or 2 people and 1 small child.",,,
25067,translation,good all,,,perfect
25066,original,Good place !,,,
25065,translation,"Modern and very spacious flat, everything you need to be comfortable. Very well communicated to visit Prague.",,,"The fridge is a bit noisy and annoying at night.
Check out at 10:00 am and not being able to leave luggage somewhere is quite uncomfortable."
25064,original,"Guests should know: 
- the apartment is on one of the busiest streets with traffic, trains and many pedestrians out until late. Two of the three bedrooms are very noisy.  The host provides disposable ear plugs. 
- the apartment is advertised as a three bedroom for eight guests but the host would only make up 2 beds for our family of four.  We paid extra to have linens dropped off. 
- the blinds in one bedroom were broken. The host provides disposable sleeping masks. 
- the apartment is large, clean and bright.  It is in a great location and has a well equipped kitchen.  
- several flights of stairs must be climbed up to the apartment. 
- overall our stay was acceptable but we paid similar to equivalent of two nice hotel rooms so value was questionable.  If you have a larger group of 6-8 and want to stay together then it would make more sense.",,,Thanks for the accommodation and communicating with us during the stay.
25063,original,Place was good and location is nice but wasn’t given any flexibility for check out and asked to pay 150 eur for 1hr late checkout. Not what i would expect for a place this expensive. All good otherwise,,,
25062,original,"Very comfortable, accurate description, convenient to attractions, quiet at night.  Will stay there again",,,Kitchen could use a microwave
25061,original,A great apartment a minutes walk from Winceleas Square. It has everything you need for a short stay in wonderful city.,,,"We had a great time in Prague. Your apartment was perfect for us. Hope to be back for the Christmas markets. Thank you
Best wishes
Gerry and Julie"
25060,original,Genuinely an excellent stay. Accommodation was great and the company were really helpful throughout the stay. Would 100% stay again!,,,Thanks so much for a great stay! Alex 😊
25059,translation,Very tastefully furnished apartment and best location. Very clean and quick communiication. You can reach the centre quickly on foot and the tram stop is just around the corner. Highly recommended!,,,
25058,translation,"We had an excellent time! We appreciated the fully equipped kitchen, dishwasher, washing machine, washing machine, fully equipped bathroom, iron, ironing facilities and the clean, high, elegantly decorated rooms.

What I think could be improved: doors and windows - to change and modernise. Being a two-bedroom accommodation, doors that are much better sound insulating between rooms and close hermetically would be appropriate.

All in all we had a great time and the fact that the location is ultra ultra central is a huge plus.

Thanks for everything!",,,"Hi, Kamila!

Thanks for hosting. We had an excellent time! We appreciated the fully equipped kitchen, dishwasher, washing machine, fully stocked bathroom, iron, ironing facilities and the clean, high, elegantly decorated rooms.

What I think could be much improved: the doors and windows - to be changed and modernised (including the front door). Being a two bedroom accommodation I think doors should be put in that are much better sound insulating between the rooms and close tightly. Also, the door to the glazed bedroom is only downstairs...upstairs being empty space and it is loud when someone else is in the bathroom or kitchen.

Wish we could have found 2-3 pairs of slippers. I would also activate the cable (if it wasn't already activated). I would have liked to watch a few Czech TV channels. :)

Overall we had a great time and the fact that the location is ultra ultra central is a huge plus.

Thanks for everything!"
25057,translation,"Great apartment with private parking in a great location (with everything you need within easy reach).
The landlord was great at communicating and actively helped with the whole accommodation process.
Suitable for both private and business stays - definitely recommend 👍.",,,
25056,translation,"Well located, unfortunately some sockets did not work. Furthermore, the bed was replaced and the mattress was simply placed in the living room and only replaced on request. We were there with 8 people, and the location is very good and with 8 people you can stay there well. However, only 1 key is provided, each additional one costs 10€!!!! This is far too unreasonable, with the number of people you can already assume 2 pairs of keys. Otherwise good, just not really tidy.",,,
25055,translation,"After helpful tips regarding tram connections to our accommodation, we got from the station to the beautiful house and immaculately clean and invitingly designed flat. Really nothing was missing. Quiet, pleasant district, close to the Vltava River on the Lesser Town and a 15-minute walk to the Old Town. Comfortable mattress, very well equipped kitchen and bathroom, view of the countryside, good places for breakfast and restaurants nearby and just a few minutes' walk to the forest on Petrin Hill. Tram to the old town and Hradčany around the corner. We would really recommend accommodation for 2 people.",,,
25054,translation,"On the whole it was good.
The bed and sofa were cosy.
However, the kitchen and utensils were very dirty. We had to wash everything ourselves three times and there was hair in the bathroom drawer.
The location was good, you can get to the S-Bahn quickly.",,,
25053,original,A great apartment which exceeded all my expectations.  It was very comfortable and well set up with everything I could want. Super close to the only tram stop I needed.,,,
25052,translation,"Great stay, beautiful location, excellent accommodation",,,
25051,translation,"Had a fantastic time in a spacious flat where we immediately felt at home and you can unwind well between activities. Beautiful building, friendly people and cool neighbourhood. Lots of restaurants, nice shops, great choice of delicious coffee shops and a nice market. Parking easily arranged via Mr Parkit or via parking app short on the street.
Away from the hustle and bustle of the city centre but if you want you're 3 metro stops away.
Top spot: we would love to come back!",,,I have already done so separately
25049,original,"The location and the apartment are great. Perfectly clean, has everything you need and even more.
I will definitely come back, I really liked the apartment.
 I recommend",,,
25048,translation,"Good location close to the main railway station, with a beautiful roof terrace with a view",,,
25047,translation,"Great host, we were allowed to leave the flat an hour later. The concierge downstairs is super nice and helped us find the key. It was great :)",,,"Thank you :) and much praise to the concierge downstairs, he was very helpful."
25046,original,"The room was as described. 
About 25min (pleasant) walk from the old town.
Loft bed and sofabed both very comfortable.
Kitchen was immaculate including a fridge and washing machine.
TV was good as was the WiFi.
Plenty of hot water, and a good bathroom. 

However the place lacked any character at all, no view nor balcony, nor any feature to make it worth a photo or memorable.  For the price it was a bit meh!",,,"thanks for being so responsive to our request for sheets.

have left an honest review. 
Thank you for hosting us."
25045,translation,Fine location,,,
25044,original,"The apartment was really nice and clean , in a peaceful area , really well connected to the public transport. The host was very responsive and friendly. A great stay overall!",,,
25043,original,"The accommodation was excellent and everything we needed. The space was very spacious, modern and free from any faults. The communication on check-in was very detailed and easy to follow, with images and lots of information that made us feel comfortable.
We would happily stay here again if we were to visit Prague in the future.",,,
25042,original,"The flat has a perfect location, walking distance from old town and main attractions and public transportation. It’s a little jewel!",,,"The only little draw back is the bathroom sink, it’s a bit too narrow but usable. Other than that we really appreciated our stay. Thank you!"
25041,translation,"The accommodation was beautiful, clean everywhere. Kitchen well equipped.",,,"Hello, everything was perfect, but you can't really sleep on the couch. The couch is made up of pillows and therefore you can't lie flat. A one-piece couch would be better.
Have a nice day Jana G."
25040,original,It was a nice stay for sure! Totally recommended.Easy entrance and good instructions as well !!!,,,
25039,original,was told about the upstairs toilet being out of order only 24hrs before stay. upstairs shower also broken which ended up causing a power cut in the whole place leaving us with no electricity or power for over 24hrs. was fixed eventually and communication was good to fix the issue,,,
25038,original,"We love the apartment. It was very quiet inside. 
Super clean, nice and bright, very comfortable beds, kitchen equipped with everything you need, parking in the garage and the washer and dryer a big plus. 
Close to stores, restaurants, transportation. Wonderful experience for our Family. Thank you!",,,"Thank you. We had a great stay. We live in the USA so only problem we had was the shower had. I do not know if you can change anything about it. I know that this a standard in Europe, but if you have more people coming from the USA or Canada it would be worth to look into it."
25037,original,"-New condo in a nice peaceful neighborhood with easy access to public transportation and private garage space.
-Basic amenities are there.
-I wish if they had one more couch (There’s only one loveseat in that big living room)
-I wish they had black out curtains(there’s no built in sunshade) difficult to sleep in the morning!",,,The dishwasher was filthy and smelly! We had to buy paper plates and cups.
25036,original,"This apartment looks exactly like the pictures. It is very modern and new and comfortable. The kitchen is well equipped for meal preparation, but this neighborhood has lots of great restaurants to explore, too!

Holešovice is full of great local spots and all of the general amenities you would need including easy access to transportation, close grocery stores, etc. 

The hosts are very responsive They replied back to me very quickly when I had questions and they left a lot of great recommendations in a guide inside the apartment. Wi-Fi is great. I was able to work from there for the week without a hitch. 

Some facts: there is no elevator and the apartment is two floors up from street level worth considering if you have a ton of luggage. 
The apartment has AC so if you prefer the windows closed for more peace & quiet you can stay cool in Summer! 
The plumbing in the building is old and requires some care on the part of the guest.  

I would stay here again - thank you Prague Days!",,,"Hello! I left you some direct feedback about the check-in process in the message part of this app. 

A note about the plumbing--if you refer to the Airbnb review  for the stay right before mine… I experienced a similar thing with the water/toilet situation.  After flushing the toilet, sometimes there would be smells coming from the bathroom sink. 
Also, there would be  gurgling sounds in the kitchen & in the shower after flushing the toilet. 
The sign on the toilet says “don’t put toiletries in the toilet” 
My initial assumption was that it meant feminine products. I didn’t realize it meant toilet paper wouldn’t go down when flushed. A more explicit instruction could be helpful, such as “Do not flush toilet paper, place it in the waste bin.” 

I assume this is all related to the age of the building/plumbing . But thought it was worth mentioning since the other person did say something in their review.  
Thanks again for being great hosts! I really enjoyed my stay."
25035,translation,"I had a lovely experience with this host. The location is excellent. The studio looks exactly as in the photos and access was easy. Thank you, host and Prague Days.",,,"Personally, I could only use the TV on YouTube... maybe there should be user instructions in English. Otherwise, I was very satisfied."
25034,original,"Staying with Prague Days was a pleasure. The location was perfect, it’s just outside the main area so extremely quiet with a tram just around the corner that gets you into the main area in 10 minutes. The apartment was cozy and clean with amazing views from the roof terrace. There was someone always available to reply to any messages and all of the information/instructions we were sent were very helpful and accurate. We also tried out a few of the restaurant recommendations from Prague days with Waf-Waf (5-10 minute walk) being an incredible highlight. We would gladly stay here again and would highly recommend it to anyone who’s looking for a base to explore Prague.",,,"Your place was perfect, thank you so much for hosting us. Our only issue was the bed pillows which were a bit flat for us but we know that pillows are a personal preference and not everyone will like every pillow. Thank you again 😊"
25033,translation,"We would come back again, the host was always helpful. We felt comfortable during our stay.",,,
25032,original,"Highly recommended. Staff was great, and the place was very tidy.",,,Thanks!
25031,original,"Great, a little difficult with a lot of luggage as the elevator doesn’t go all the way up, but very manageable.",,,
25030,original,"The place is good, all the reviews stating the walkability and describing amenities are correct. 
There were several issues though:
- we said we’d check in at 8pm, but we actually came to town at around 5. They let us leave the bags but the apartment was not cleaned and we were informed about it. If you ask me - if the check in is at 3pm, the apartment should be ready regardless of the guests coming later;
- there’s only one set of keys for an apartment for 4+ people, this was extremely inconvenient. When I asked for another set I was offered to pay for it. This is weird, a deposit I would understand but why would I pay for the keys that I leave behind in 4 days. Please consider offering 2 sets of keys to the guests who come in companies;
- the ventilation didn’t switch off at all and we were told a specialist would come and check it - no one came; it was noisy 24/7
Overall the apartment is good, communication is decent but the issues were not solved",,,
25029,original,"I had a wonderful stay while visiting Prague. The apartment is centrally located and within walking distance to many major attractions, which made exploring the city incredibly convenient. I’ll definitely come back and stay here again when I get the chance.",,,"Thank you for this beautiful apartment, my experince was great and I’ll definitely come back."
25028,original,super,,,
25027,original,Nice location and had all the listed amenities.,,,We were asked if we would be available to let someone in the property to repair the router. They never turned up - it wasn't a major issue but we did delay going out because of this. Something to consider in the future.
25026,translation,A beautiful and peaceful place where I felt at home,,,
25025,original,"Beautiful, clean one bedroom with a large living space and a washing machine made it perfect for my midweek stay in Prague. My only recommendation would be to offer more towels because two for 3 days is not enough! I don’t want to wash my own towels and hang them to dry on vacation!",,,
25024,translation,"Everything was as described, check-in was at 4 o'clock and I asked to advance the check-in time by one hour but the request was denied, check-out was difficult and you may get in trouble for closing the door and putting the exit card inside the apartment.",,,
25023,translation,"During check-in we had a problem with the lock - contact with the staff was hassle-free and a member of staff was immediately sent to help us with everything. The flat is currently opposite a construction site, but the noise didn't interfere - besides, there is a nice view of Prague :) Access is hassle-free, big plus for free parking. The place is clean and comfortable. Recommended.",,,
25022,original,Nice apartment. Comfortable bed. Washing machine and AC. Great location one block from river. Walkable to everything.,,,AC remote control kept needing to be reset.
25020,translation,"Excellent location, just like the pictures, very beautiful",,,
25019,original,Much more space than you think-there were three of us and we had a bedroom each.,,,Thank you
25018,translation,"The flat was very clean, everything was new and stylishly furnished, you could immediately feel at home. It contained everything you need to live, even a washing machine and tumble dryer were available. The kitchen was fully equipped with all the usual electrical appliances. Fast Internet and WLAN were also available and easy to set up. The underground car park was also spotlessly clean. The connection to public transport was perfect, 50 metres to the tram and 100 metres to the metro station and you were in the centre and Prague's old town in just a few stops. In short, it was the perfect stay and starting point for us to explore the city. If I come to Prague again, I really want to stay in exactly this flat again 😀",,,"Everything was actually perfect for our stay, we really enjoyed the accommodation and the location.
Only the cleaning staff still have a little room for improvement.
Not that it seemed unclean, no, but the cooker, microwave and the mirror in the bathroom still had streaks of dirt.
And this is of course complaining on a very high level and please don't criticise the cleaning staff for that. I think it was because we arrived as planned and on time for check-in, but the cleaning staff were still not ready and seemed visibly irritated when we suddenly stood in front of the door.
And as I said, we would want to check into this exact flat again on our next stay in Prague.
Best regards
Michael Glas"
25017,original,Very good service!,,,
25016,translation,Very nicely furnished and clean flat. The crockery was a bit dirty from the previous owner (no dishwasher available). Close to the centre but still quiet. Nice garden with terrace to sit out.,,,
25015,original,"The good: Location was good, about a 20min walk to the astronomical clock. Washer and dryer were nice to have, though the dryer is finicky.  Prague Days had good email updates of things going on in the city. The bad: This place was so dirty. There were black specks/fluffies on the beds and floor. My 2 yr old walked through the curtain to be silly. We stopped him and took the curtain off, he had black stuff on his face.  It has a very small kitchen/ dining/living room area. The kitchen knives are very dull. Curtains let a lot of light in, even at night, they need to be deep cleaned and fixed. Friday and Saturday nights were noisy. They provided ear plugs and eye masks. My child’s and my allergies started acting up so much. We left the place cleaner than we found it. We should have left upon arrival, but the thought of relocating 7ppls things and finding a new place for 7 was daunting. We should have anyway. We would have left early if friends hadn’t been staying near us.",,,"Deep clean everything, especially the curtains. Finish tiling the bathroom. Grout the tile in the shower."
25014,translation,"Due to the now high hotel prices, we booked a holiday flat on Airbnb for the first time. Our focus is always on a cheap parking space for the car and secure storage for the bikes. But of course the feel-good factor is also important. After intensive research into the price, location and description of the accommodation, we came across this great flat.
The flat on offer looks exactly like the photos. There is nothing ""fake"". The description and details of the flat are also correct. The two of us stayed in the flat for just under two weeks and only spent the night and had breakfast there, as we were out and about every day until the evening.
The very short distances to the apartment/garage/bicycle room/trash are absolutely perfect. Everything right by the lift. Absolutely great!
Small drawback: There is no satellite TV. Only Czech TV. But we were able to stream on the TV with various providers. A TV in the bedroom would be desirable.",,,"The description of the flat clearly states that there is no satellite TV and that it can only be streamed (hope I haven't overlooked this). A TV in the bedroom would be great (aerial socket is available). I'm not sure, but I don't think I've read anything about where to put the household rubbish. I found it instinctively :)
Otherwise everything is perfect.

We felt very comfortable and would come back at any time. It was wonderful. Many thanks for the great support and the time in Prague."
25013,original,"Great location in the old town and the street is fairly quiet.  Two really good sized bedrooms, large separate lounge and well equipped kitchen/dining with a small balcony.  Bathroom good with shower/bath and very useful to have another toilet separate.  

The location is perfect for walking to most of the sights and there are many good restaurants, cafes, bars nearby.

Only one set of keys is provided which can be a bit limiting if there are four people staying.  It took a little while to get a second set for which we paid a small additional amount.  Suggest you ask in advance if you want extra keys.

Wonderful stay here, thoroughly recommend.",,,"Don’t think that the dishwasher is working very well, might be worth checking.  Not a complaint, just an observation!"
25012,original,"Our stay was amazing. After my previous host just cancelled my reservation a week before my trip, I found Prague Days. The apartment was spacious, clean, and everything was provided as in the offer. The A/C was a nice addition during hotter days. The area around is calm and beautiful, with a tram stop just 2 steps from the front door. The terrace view is just beautiful. I always had a quick support if needed. I can only recommend this apartment and I will definitely go back there in the future :)",,,
25011,original,When arriving at the apartment it had a bad smell from the bathroom drain. I contacted owner who quickly responded and came by to fix the issue. Excellent service,,,
25010,translation,It was really nice and it was worth it,,,
25009,original,"We spent one night at this Airbnb in Prague and absolutely loved it! It was the perfect place for our time in the city — cozy, beautifully furnished, and incredibly comfortable. We truly felt at home from the moment we arrived. The communication with the host was excellent, and the service couldn’t have been better. Everything went smoothly and exceeded our expectations. We would definitely book this place again anytime we’re in Prague. Highly recommended!",,,Thank you!!!
25008,original,"The flat is in a very good location, accessible to many shops, cafes and restaurants. Located near the old town and the main train station, everywhere is walkable. The flat was spacious, had a well stocked kitchen and basic amenities. However, we personally felt that there wasn't enough privacy considering the lack of curtains. There were see-through curtains in the bedroom, but none in the living space. We also had a minor problem with check-out, as the host promised us late check-out at 6pm the night before but then changed their plans at 10pm when we were already asleep, leading to a very rushed morning for us. They were however understanding we might not be able to make it out on time, we had an overall great experience with Prague Days. Check in was smooth and pleasant. Prague Days were also very responsive and helpful regarding recommendations. They helped us settle into prague with a 2h earlier check in, which we really appreciate!",,,
25007,original,"First experience with Prague Days – here’s what we appreciated:
1.	Fast and polite replies
2.	Easy check-in and check-out
3.	Netflix available on the TV
4.	Great location for transport and food
5.	Washing and ironing tools provided

Unfortunately, some issues negatively impacted our stay, which we also reported:
1.	Dirty, stained bowls upon arrival
2.	Constant noise from construction (upstairs neighbour as early as 8 am) and thin walls (noise at night) 
3.	Extremely limited and awkwardly placed storage (one small wardrobe about 40cm wide with one shelf + hanging space, barely enough for one person, in the corner stuck between the bed, the wall, and a stool) 
4.	Bugs in the bathroom!
5.	Freezer not cold enough, the size of a matchbox, that makes a lot of noise though in the night

We appreciate the efforts but we hope future stays will benefit from a few improvements! Thank you for your hospitality.",,,
25006,original,"The apartments were cozy and warm. Air conditioning was also available. A big plus is that there is an elevator in the building. Faster check-in was possible, but it depends on previous guests. The hosts were responsive and also sent recommendations for a holiday in Prague. Ideal location, there is a public transport stop nearby, and the Karlův Bridge is a 10-minute walk away.",,,
25005,original,"The apartament was beautifull, perfect localisation near to the old city, great contat with landlord, 100% recomendet! We will back there for sure.",,,"Everything was perfect! Thank you again, we love it :)"
25003,original,"Very professional staff, great place inside an location.   We are very happy with just about everything.   I was a little surprised at check-in instructions (a numeric-key padlock containing the keys hanging on a public street railing), but got used to it :-)

Otherwise everything went smooth.",,,
25002,translation,"1-When going up to the apartment, the iron railing of the staircase was probably broken and dismantled and was not in place, which is a very, very dangerous thing for the child!

2-The battery of the door lock of the apartment is dead and we could have stayed outside if we did not check it, how can they rent the apartment without checking the battery? This is a major oversight! Also, the lock combination for the outer door and the apartment door did not seem very secure.

3-The seats and carpets in front of the exit door were black and incredibly dirty!!!

4-One chair and the dining table were shaking, you can fall at any time if you sit on that chair

5-Hand soap and detergent mixed with water of poor quality

6-They made a plasterboard wall in front of the double bed, a huge frame on the wall fell while the child was playing on the bed

7-There is no cabin for shower, so water goes everywhere

8-Since there is only a glass door separating the shower and toilet from the room, when you take a shower, the humidity enters the whole room and the room was extremely stuffy, we had to open the window constantly!",,,
25001,translation,Good and convenient,,,
25000,translation,"Everything was super, great, clean and well thought out (little things like shoehorn or diffuser available) flat. Ideal for a family of four. Metro within walking distance. Overnight blackout not ideal if you are used to sleeping in the dark. Crockery could be cleaner (streaks on glasses and cutlery). This could be improved. Otherwise great, clean and newly renovated. Beds are comfortable.",,,
24999,original,"Great apartment. Great location. Right in the heart of Prague, yet still quiet. All highlights at your doorsteps. Erik",,,
24998,original,Perfect location and spacious space.,,,
24997,original,"Great place to stay, everything was organised and well communicated to all the tourist locations. Very clean and nice place to stay.",,,Thanks for letting us stay!
24996,translation,"Great opportunity for the four of us to have an uncomplicated flat for one night.
Communication was great and all open questions were answered quickly.
We were also able to get into the flat early to bring in our luggage.

Many thanks for everything",,,Thank you for the uncomplicated processing
24995,original,Great,,,
24994,original,Very active and responsive host with nearly 24h support when we needed them. Also showed consideration when we had to ask for a late check out which was not easy to arrange for them. Thank you!,,,
24993,original,"Professional clean, well located and new. Enjoyed the location",,,
24991,original,"The stay in Prague was amazing! Great location, very quiet neighborhood, easy access to city and attractions. The communication with host was easy and fast. Hope to come back soon!",,,"Dear Prague Days,

thank yoj for an amazing stay! 

All the best,

Atida"
24990,translation,Superb,,,
24989,translation,"Flat was clean, had a great location close to the city centre and was actually exactly as described.
The hosts always responded quickly and were helpful and courteous.
The only thing you have to be prepared for is the parking situation.
Thanks for the stay.",,,"Sorry about the chair. It really wasn't intentional. The one leg was already very wobbly before we arrived and only gave way when we sat down.
Thank you for your help during our stay <3"
24988,translation,"Everything was fine, Prague days communicate well when there was any small problem, I recommend",,,
24987,original,"We enjoyed our time at the apartment. Clean, well equipped well located and comfortable.

A very responsive host:-
They were super-quick to deal with an Internet provider outage, sending a colleague out with a portable hotspot within 30mins even though it was 9.30pm on a Saturday night.

The only slight annoyance for us was that one of the bed bases was (kind of) broken - the slats kept falling down which made the mattress sag down - and although this was acknowledged by the host, we were not offered the option to have it fixed during our stay. With hindsight maybe we should have made more of a fuss about this, but we were very busy as we were visiting Prague for an event so it wasn't top of our ""to do"" list.  Based on the rest of our very positive stay, I imagine Prague Days will have already  sorted it out.",,,"Give instructions as to how to make the door entry system work from within the apartment - we had to walk all the way down to the main door to let our daughter in.

Get coffee pods that are properly compatible with the machine - the tops of the ones you provided do not pierce properly so the coffee only comes out in a dribble.

Thanks"
24986,original,"I had a wonderful stay! The apartment was clean, cozy, and in a perfect location. It matched the description exactly, including the note about no A/C and being on the third floor without an elevator — so that wasn’t a problem at all.

Despite that, everything else was so great that I didn’t feel like anything was missing. 

The support from Markéta and the team was amazing — they were always kind, responsive, and made everything easy for me.

Thank you so much for the lovely experience. I’d definitely stay here again next time I visit Prague!",,,
24985,translation,"Overall, it was clean and friendly. The location of the apartment was quiet yet close to tourist attractions. The washing machine in the basement of the apartment was great to use, but it wasn't well maintained and would be great if this could be improved. There was also an iron, which was great for ironing clothes. The host was quick to respond to any queries, so there was no hassle. Would recommend to others!!!",,,Thank you for being so kind and answering all my questions :))))
24984,original,Very good,,,
24983,original,Short walk to old town. We had great fun at the illusions museum only 5 minutes walk away. Steak house opposite the apartment.,,,"Did not find the guide book with internet log on. Also found no instructions for refuse disposal.

But we are very happy with our stay"
24982,original,"Everything was perfect. place is near to the city, the apartment is quite clean, and the host are responsive. We stayed for a week, we enjoyed our stay.",,,"it's better if you state for the guest before reserving that  there is stairs before getting to the elevator. In case of elders or disables, it might be very difficult to reach to the elevator. 
other than this, everything was perfect. thank you again."
24981,original,"Awesome apartment, great location and very easy to access transportation and city center. Very helpful and friendly host.!!!",,,
